iter	Passed	Remaining
845	8861	1613
846	8869	1602
847	8880	1591
848	8890	1581
849	8900	1570
850	8911	1560
851	8924	1550
852	8934	1539
853	8943	1528
854	8953	1518
855	8963	1507
856	8974	1497
857	8987	1487
858	8998	1477
859	9009	1466
860	9020	1456
861	9030	1445
862	9040	1435
863	9051	1424
864	9062	1414
865	9071	1403
866	9083	1393
867	9096	1383
868	9106	1372
869	9114	1362
870	9125	1351
871	9135	1341
872	9145	1330
873	9155	1319
874	9165	1309
875	9175	1298
876	9185	1288
877	9194	1277
878	9204	1267
879	9215	1256
880	9225	1246
881	9233	1235
882	9244	1224
883	9255	1214
884	9267	1204
885	9277	1193
886	9288	1183
887	9299	1172
888	9309	1162
889	9320	1151
890	9330	1141
891	9342	1131
892	9352	1120
893	9362	1110
894	9374	1099
895	9384	1089
896	9395	1078
897	9406	1068
898	9414	1057
899	9423	1047
900	9432	1036
901	9440	1025
902	9448	1015
903	9459	1004
904	9470	994
905	9479	983
906	9490	973
907	9501	962
908	9511	952
909	9525	942
910	9536	931
911	9547	921
912	9559	910
913	9569	900
914	9580	889
915	9590	879
916	9601	869
917	9612	858
918	9623	848
919	9634	837
920	9646	827
921	9658	817
922	9669	806
923	9682	796
924	9694	786
925	9704	775
926	9714	764
927	9726	754
928	9738	744
929	9754	734
930	9768	723
931	9779	713
932	9789	702
933	9803	692
934	9812	682
935	9824	671
936	9833	661
937	9844	650
938	9857	640
939	9867	629
940	9878	619
941	9890	608
942	9902	598
943	9914	588
944	9926	577
945	9937	567
946	9947	556
947	9957	546
948	9971	535
949	9985	525
950	9995	515
951	10010	504
952	10023	494
953	10035	483
954	10046	473
955	10056	462
956	10067	452
957	10077	441
958	10088	431
959	10103	420
960	10115	410
961	10128	400
962	10140	389
963	10150	379
964	10162	368
965	10174	358
966	10187	347
967	10199	337
968	10213	326
969	10225	316
970	10238	305
971	10252	295
972	10265	284
973	10277	274
974	10289	263
975	10300	253
976	10312	242
977	10326	232
978	10338	221
979	10351	211
980	10362	200
981	10375	190
982	10387	179
983	10399	169
984	10414	158
985	10427	148
986	10439	137
987	10451	126
988	10464	116
989	10477	105
990	10492	95
991	10507	84
992	10520	74
993	10531	63
994	10541	52
995	10551	42
996	10559	31
997	10571	21
998	10581	10
999	10592	0
